  A   Z Nuc Mass (MeV)
118  55     109820.001
119  45     110762.110
119  46     110753.021
119  47     110745.279
119  48     110739.444
119  49     110735.219
119  50     110732.350
119  51     110732.438
119  52     110734.229
119  53     110737.142
119  54     110741.611
119  55     110747.599
119  56     110754.812
120  46     111685.643
120  47     111679.768
120  48     111670.958
120  49     111668.684
120  50     111662.811
120  51     111664.989
120  52     111663.536
120  53     111668.649
120  54     111669.727
120  55     111677.509
120  56     111682.008
121  45     112631.671
121  46     112621.234
121  47     112612.510
121  48     112605.336
121  49     112600.070
121  50     112596.206
121  51     112595.300
121  52     112595.853
121  53     112597.645
121  54     112600.913
121  55     112605.790
121  56     112611.646
122  46     113554.295
122  47     113547.301
122  48     113537.291
122  49     113533.828
122  50     113526.956
122  51     113528.059
122  52     113525.578
122  53     113529.310
122  54     113529.533
122  55     113536.242
122  56     113539.276
123  46     114489.975
123  47     114480.353
123  48     114471.984
123  49     114465.464
123  50     114460.575
123  51     114458.665
123  52     114458.214
123  53     114458.940
123  54     114461.133
123  55     114464.837
123  56     114469.724
124  47     115415.195
124  48     115404.190
124  49     115399.519
124  50     115391.652
124  51     115391.763
124  52     115388.355
124  53     115391.013
124  54     115390.215
124  55     115395.643
124  56     115397.783
124  57     115406.113
125  47     116348.370
125  48     116339.038
125  49     116331.406
125  50     116325.483
125  51     116322.621
125  52     116321.352
125  53     116321.035
125  54     116322.177
125  55     116324.781
125  56     116328.698
125  57     116334.106
126  48     117271.623
126  49     117265.604
126  50     117256.859
126  51     117255.978
126  52     117251.803
126  53     117253.455
126  54     117251.717
126  55     117256.012
126  56     117257.191
126  57     117264.386
126  58     117268.038
127  48     118206.627
127  49     118197.975
127  50     118190.897
127  51     118187.166
127  52     118185.081
127  53     118183.877
127  54     118184.037
127  55     118185.617
127  56     118188.537
127  57     118192.958
127  58     118198.374
128  48     119139.626
128  49     119132.219
128  50     119122.500
128  51     119120.729
128  52     119115.863
128  53     119116.616
128  54     119113.992
128  55     119117.419
128  56     119117.471
128  57     119123.723
128  58     119126.313
128  59     119135.016
129  48     120075.304
129  49     120065.022
129  50     120056.765
129  51     120052.224
129  52     120049.346
129  53     120047.342
129  54     120046.651
129  55     120047.346
129  56     120049.280
129  57     120052.518
129  58     120057.054
129  59     120063.067
130  48     121008.739
130  49     120999.470
130  50     120988.718
130  51     120986.062
130  52     120980.492
130  53     120980.407
130  54     120976.960
130  55     120979.439
130  56     120978.576
130  57     120983.709
130  58     120985.412
130  59     120993.159
130  60     120997.238
131  48     121946.132
131  49     121932.822
131  50     121923.080
131  51     121917.860
131  52     121914.128
131  53     121911.394
131  54     121909.921
131  55     121909.774
131  56     121910.648
131  57     121913.061
131  58     121916.621
131  59     121921.528
131  60     121927.560
132  49     122869.930
132  50     122855.292
132  51     122851.701
132  52     122845.645
132  53     122844.628
132  54     122840.550
132  55     122842.175
132  56     122840.391
132  57     122844.601
132  58     122845.353
132  59     122852.095
132  60     122855.397
133  50     123792.459
133  51     123783.906
133  52     123779.390
133  53     123775.967
133  54     123773.680
133  55     123772.750
133  56     123772.766
133  57     123774.324
133  58     123776.899
133  59     123780.879
133  60     123785.984
133  61     123792.409
134  50     124728.393
134  51     124720.303
134  52     124711.288
134  53     124709.276
134  54     124704.691
134  55     124705.424
134  56     124702.864
134  57     124706.094
134  58     124705.979
134  59     124711.783
134  60     124714.164
134  61     124722.572
135  50     125665.689
135  51     125656.128
135  52     125647.587
135  53     125641.034
135  54     125637.898
135  55     125636.228
135  56     125635.458
135  57     125636.163
135  58     125637.690
135  59     125640.869
135  60     125645.091
135  61     125650.752
135  62     125657.447
136  51     126592.805
136  52     126582.384
136  53     126576.762
136  54     126569.376
136  55     126568.965
136  56     126565.915
136  57     126568.263
136  58     126567.292
136  59     126571.959
136  60     126573.599
136  61     126581.129
136  62     126584.988
137  51     127528.746
137  52     127519.000
137  53     127511.445
137  54     127504.916
137  55     127500.252
137  56     127498.575
137  57     127498.654
137  58     127499.375
137  59     127501.592
137  60     127504.708
